Country,Predicted_CA
Ukraine,11.937525676747317
United States,103.74853072620944
Uzbekistan,10.092279076555762
Venezuela,5.14542502400897
Vietnam,5.40708377883143
Albania,4.582267967713065
Algeria,7.056835249924766
Argentina,6.545991737625708
Armenia,5.520374910372088
Australia,36.44469027513563
Austria,8.74651696900013
Azerbaijan,7.9276797345650865
Belgium,12.071392231969437
Botswana,5.879180119635976
Brazil,15.373426698559673
Bahrain,6.519169493983542
Bulgaria,12.226734102217723
Canada,22.470321901990697
Chile,5.336050934109928
China,51.353940464386184
Ivory Coast,4.317860726291517
Colombia,5.838950275624569
Cabo Verde,4.109773597928035
Croatia,7.718539676020277
Cuba,12.45682023171118
Cyprus,4.245860348035299
Czech Republic,8.884444288122392
Denmark,11.587208283430341
Dominica,-1.6886322543003578
Dominican Republic,5.6374705124899815
Ecuador,-2.297076188901796
Egypt,6.943073956955171
Refugee Olympic Team,4.364948489926476
Spain,15.450099848539342
Ethiopia,7.2386799255969585
Fiji,4.020126487099523
France,45.06420633985108
Great Britain,48.28718864625712
Ireland,30.032498282722123
Georgia,8.187812489566417
Germany,32.12140849955672
Greece,9.700918108186789
Grenada,4.713786142824462
Guatemala,5.647010028610715
Hong Kong,6.447669269382241
Hungary,23.071172051698607
Indonesia,6.963954688440218
India,7.172873953172415
Iran,10.160607055048303
Ireland,9.190475575405294
Israel,7.310516647995818
Italy,33.85710628631702
Jamaica,8.593968245613315
Jordan,4.189972494078565
Japan,31.709543534258042
Kazakhstan,8.631528738268816
Kenya,11.009492856713553
Kyrgyzstan,6.190868273808102
South Korea,22.964315753455423
Kosovo,4.593742610470374
Saint Lucia,5.789284450587875
Lithuania,5.965667215236316
Morocco,5.64517584601555
Malaysia,4.639720039334844
Moldova,5.409358467120099
Mexico,7.277713526917426
Mongolia,5.14994307011573
Netherlands,24.291233123109507
Norway,11.179667706240819
New Zealand,15.383953227589924
Pakistan,6.852988937207057
Panama,4.260025245983795
Peru,4.183339941926579
Philippines,6.8726498705400765
Poland,-1.2330660423728856
Portugal,6.813762713017513
North Korea,7.064305215465456
Puerto Rico,4.639596269512083
Qatar,4.256468313713961
Romania,14.452004930194573
South Africa,8.322584250557153
Singapore,4.194287508713724
Slovenia,7.33015475940381
Serbia,7.487689890274543
Switzerland,12.131226169524112
Slovakia,4.748293824996939
Sweden,19.710614232267723
Thailand,7.002272588382709
Tajikistan,4.978450683145372
Chinese Taipei,7.532421830321262
Tunisia,5.713076664410133
Turkey,9.588885757350557
Uganda,-2.242691120344996
Ukraine,12.224053214156474
United States,105.06515615613723
Uzbekistan,11.215272750280203
Zambia,4.1055261796566445
