NOC,Predicted Gold Min,Predicted Gold Max,Predicted Total Min,Predicted Total Max
ALG,0.0,2.069026805483577,1.6004752837531582,4.015229336841604
CHN,30.261786096806027,34.2728040360058,76.80368917339241,80.6759325599079
CIV,0.0,1.434894618393065,-0.23544055812136921,2.2461425285216445
DOM,0.0,1.840698921646299,1.4526108343662782,3.9067516814643684
SYR,0.0,1.3416555393734342,-0.010075635310668574,2.0114615542866408
TPE,0.5448857761788837,2.7044869334229147,4.757861951372361,6.823491640684217
ZAM,0.0,1.3490933361280482,-0.1332498898576795,2.126109308029137
AHO,0.0,1.3865269791593928,-0.23465194038014403,2.2001671150541036
CRC,0.0,1.6724245283045769,1.0958429025454755,3.5489421834647747
DJI,0.0,1.3926824243184384,-0.2445318287955356,2.2094026272078358
INA,0.0,2.2361536973427594,1.681947918051813,4.167517458649728
ISV,0.0,1.6261484111675841,-0.5254129869122216,2.463037584107133
SEN,0.0,1.3916650402664812,-0.24593330697364946,2.2099573299104365
SUR,0.0,1.259185917741565,-0.0942435367554102,2.09673685997889
CRO,0.45445319582796495,3.3559969540627597,4.622159022723535,7.396893251016614
EUN,22.78461561312442,26.107027015229765,62.59304655861498,65.82344292066354
ISR,0.31429329228937375,2.592080442112634,4.491285323359753,6.6771519265783645
LTU,0.0,2.0055260271605353,2.4295802969577176,4.634264581245217
MAS,0.0,1.7901268950008284,0.7923728529161775,3.5625578430881784
NAM,0.0,1.3891931715292005,1.068937772293727,3.091259753457657
QAT,0.0,1.3266804270358745,-0.11556551778475632,2.1120757243133337
SLO,0.0,2.4110707036082877,1.6108040185600494,4.268029833823506
ARM,0.0,1.8740185369494213,2.390036985224267,4.609462163613104
AZE,0.0,3.291051885236447,4.505753366842806,7.954442148983651
BDI,0.0,1.4915482315661603,-0.18591361566723497,2.1969739237159454
BLR,0.6629156709415973,3.2047756189218104,7.285464960802434,9.714194266612962
CZE,0.10508132453697616,3.183803704856475,3.1812892783380877,6.128381381777537
ECU,0.0,2.1183806540348558,3.0140814508592157,5.3162673475286795
GEO,1.2091900183249302,3.559464013562139,5.0910209208290516,7.335282514673231
HKG,0.05173771271612848,2.290819689366713,2.4733365259927256,4.628011526866183
KAZ,0.0,2.918972751513196,4.470732574102678,7.630501670773237
MDA,0.0,2.0934077500161434,2.43740989230107,4.550090282085552
MOZ,0.0,1.411762717210098,-0.020654501074888643,2.1697983033983257
RUS,20.069919159336642,23.831516515618,60.8561995778639,64.49419243286837
SVK,0.0,1.8161696404078036,-0.6225560838037096,2.6427007757552476
TGA,0.0,1.2501171976786394,0.10365866413834512,1.899666263648732
UKR,1.919533874812265,4.419710347913956,10.005691303315201,12.396718363648384
UZB,2.6879357809307134,5.382318361903684,10.03881845226414,12.615479826557538
BAR,0.0,1.3473863318748018,-0.09051617527106526,2.193569646329841
KGZ,0.0,2.0591540308602525,3.923056863780618,6.068794418876534
KSA,0.0,1.4258081018394722,-0.10452816445819935,2.0980542173205623
KUW,0.0,1.3146001364718525,0.019979740580022942,1.971061342631994
MKD,0.0,1.3088851479223647,-0.05157961735347616,2.15633762362467
SRI,0.0,1.2970293995730833,-0.03648991238993271,2.1439573763984674
VIE,0.0,1.835299252269013,0.8474410433443624,3.320350092349532
ERI,0.0,1.2538859764450752,0.09561709992950496,1.9102372794025264
PAR,0.0,1.2781082531471593,0.08313458670271512,1.9174147093181984
SCG,0.0,1.6926880043476213,0.8924139452179856,3.2919278290721015
UAE,0.0,1.5776860480785129,-0.2599981676297243,2.2683858348705517
AFG,0.0,1.3298793214625866,0.031000115552548668,1.9645702931739502
MRI,0.0,1.304307581533126,-0.15399855746375524,2.138790891615729
SAM,0.0,1.186355489699606,-0.05259936494367046,2.0414604949173754
SRB,0.17550903487266045,2.8208355419740663,3.2777354998805093,5.810398965999664
SUD,0.0,1.2040759985677747,-0.06348191774940026,2.0527573879842222
TJK,0.0,1.770595798965318,1.491910827048735,3.9414431678673214
TOG,0.0,1.174419155740722,-0.040286787577691774,2.0307129609199936
BOT,0.0,1.6906073769484038,0.9853312661815854,3.200416929358541
BRN,0.04812784935587877,2.3388346485382687,2.4893506460056853,4.680497010804484
CYP,0.0,1.3080153031499904,-0.13034070874086878,2.1249492613573064
GAB,0.0,1.381130534910261,-0.047770936279582066,2.0266099338467303
GRN,0.0,1.6334724142632153,0.9717719492690231,3.192363439316529
GUA,0.0,1.6362890678515734,0.9969544856258461,3.1515118223825995
MNE,0.0,1.5179489689523824,-0.18650082633147513,2.1571893918436587
FIJ,0.0,1.2889945124847801,-0.12123104700856024,2.1192737422271737
JOR,0.0,1.309850178071701,-0.13369710579282668,2.1325335677071724
KOS,0.0,1.6874202679666876,0.9156450021050413,3.2652079776953755
ALB,0.0,1.7664187290548035,0.8217193675470564,3.251794910736862
CPV,0.0,1.4087508736588492,-0.18307138640871512,2.1615184093420345
DMA,0.0,1.427277135309341,-0.1906251580263113,2.1692592880441213
EOR,0.0,1.4576519339916103,-0.295164485532739,2.263819022060486
LCA,0.0,1.8078871069882503,0.8110475994676887,3.2888396136991367
